;eV;e1;e2
387;3.8;12.583;2.0499
388;3.7985;12.578;2.0361
389;3.7916;12.552;1.9745
390;3.7848;12.522;1.9138
391;3.778;12.49;1.854
392;3.7712;12.455;1.7952
393;3.7644;12.419;1.7375
394;3.7577;12.381;1.6809
395;3.751;12.341;1.6256
396;3.7443;12.301;1.5714
397;3.7377;12.259;1.5191
398;3.7311;12.217;1.468
399;3.7245;12.174;1.4182
400;3.718;12.13;1.3698
401;3.7115;12.085;1.3229
402;3.705;12.04;1.2773
403;3.6985;11.995;1.2332
404;3.692;11.95;1.1904
405;3.6856;11.904;1.149
406;3.6792;11.858;1.109
407;3.6728;11.812;1.0703
408;3.6665;11.766;1.033
409;3.6601;11.72;0.99684
410;3.6538;11.674;0.96199
411;3.6475;11.523;0.92839
412;3.6412;11.502;0.8959
413;3.6349;11.474;0.86454
414;3.6287;11.441;0.83431
415;3.6225;11.405;0.80513
416;3.6163;11.368;0.77698
417;3.6102;11.329;0.74981
418;3.604;11.29;0.72359
419;3.5979;11.25;0.69829
420;3.5918;11.211;0.67388
421;3.5857;11.171;0.65037
422;3.5796;11.131;0.62763
423;3.5736;11.091;0.60569
424;3.5675;11.052;0.58455
425;3.5615;11.012;0.56414
426;3.5556;10.973;0.54441
427;3.5496;10.935;0.52539
428;3.5436;10.896;0.50698
429;3.5377;10.858;0.48924
430;3.5318;10.821;0.47207
431;3.5259;10.784;0.45551
432;3.5201;10.747;0.43948
433;3.5142;10.71;0.42401
434;3.5084;10.674;0.40902
435;3.5026;10.639;0.39453
436;3.4968;10.603;0.38052
437;3.491;10.569;0.36697
438;3.4853;10.534;0.35385
439;3.4795;10.5;0.34116
440;3.4738;10.467;0.32887
441;3.4681;10.433;0.31698
442;3.4625;10.401;0.30545
443;3.4568;10.368;0.29429
444;3.4512;10.336;0.28347
445;3.4455;10.304;0.27299
446;3.4399;10.273;0.26284
447;3.4344;10.242;0.25299
448;3.4288;10.212;0.24346
449;3.4232;10.181;0.23421
450;3.4177;10.151;0.22524
451;3.4122;10.122;0.21656
452;3.4067;10.093;0.20814
453;3.4012;10.064;0.19997
454;3.3958;10.035;0.19205
455;3.3903;10.007;0.18438
456;3.3849;9.9793;0.17695
457;3.3795;9.9518;0.16974
458;3.3741;9.9245;0.16276
459;3.3687;9.8976;0.15599
460;3.3634;9.871;0.14944
461;3.3581;9.8446;0.14309
462;3.3527;9.8186;0.13694
463;3.3474;9.7928;0.13098
464;3.3421;9.7674;0.12522
465;3.3369;9.7422;0.11964
466;3.3316;9.7172;0.11424
467;3.3264;9.6926;0.10902
468;3.3212;9.6682;0.10397
469;3.316;9.6441;0.099097
470;3.3108;9.6203;0.094384
471;3.3056;9.5967;0.089835
472;3.3004;9.5734;0.085439
473;3.2953;9.5503;0.0812
474;3.2902;9.5275;0.077117
475;3.2851;9.5049;0.073177
476;3.28;9.4826;0.069385
477;3.2749;9.4604;0.065731
478;3.2698;9.4386;0.062219
479;3.2648;9.417;0.058847
480;3.2598;9.3956;0.055604
481;3.2548;9.3744;0.052488
482;3.2497;9.3534;0.049504
483;3.2448;9.3327;0.046649
484;3.2398;9.3122;0.043914
485;3.2348;9.292;0.041302
486;3.2299;9.2719;0.038807
487;3.225;9.2521;0.03643
488;3.2201;9.2325;0.034166
489;3.2152;9.2131;0.032015
490;3.2103;9.1939;0.029973
491;3.2055;9.1749;0.02804
492;3.2006;9.1562;0.026212
493;3.1958;9.1376;0.024487
494;3.191;9.1192;0.022868
495;3.1861;9.1011;0.021346
496;3.1813;9.0831;0.019924
497;3.1766;9.0654;0.018598
498;3.1718;9.0478;0.017368
499;3.1671;9.0305;0.016234
500;3.1623;9.0134;0.015188
501;3.1576;8.9964;0.014234
502;3.1529;8.9797;0.01337
503;3.1482;8.9632;0.012593
504;3.1435;8.9469;0.011901
