;eV;e1;e2
677;2.5049;7.5733;3.4136e-06
678;2.502;7.5693;3.2539e-06
679;2.4991;7.5652;3.1023e-06
680;2.4962;7.5612;2.9575e-06
681;2.4933;7.5572;2.8193e-06
682;2.4904;7.5532;2.6876e-06
683;2.4875;7.5493;2.5622e-06
684;2.4847;7.5454;2.4429e-06
685;2.4818;7.5415;2.3289e-06
686;2.4789;7.5376;2.2204e-06
687;2.4761;7.5337;2.117e-06
688;2.4732;7.5299;2.0183e-06
689;2.4704;7.526;1.9243e-06
690;2.4676;7.5222;1.8345e-06
691;2.4647;7.5184;1.7491e-06
692;2.4619;7.5147;1.6677e-06
693;2.4591;7.5109;1.5902e-06
694;2.4563;7.5072;1.5162e-06
695;2.4535;7.5035;1.4458e-06
696;2.4507;7.4998;1.3785e-06
697;2.4479;7.4961;1.3144e-06
698;2.4451;7.4925;1.2534e-06
699;2.4423;7.4889;1.1951e-06
700;2.4396;7.4852;1.1396e-06
701;2.4368;7.4816;1.0866e-06
702;2.434;7.4781;1.0363e-06
703;2.4313;7.4745;9.8813e-07
704;2.4285;7.471;9.424e-07
705;2.4258;7.4675;8.9871e-07
706;2.4231;7.4639;8.5696e-07
707;2.4203;7.4605;8.1736e-07
708;2.4176;7.457;7.7953e-07
709;2.4149;7.4535;7.4337e-07
710;2.4122;7.4501;7.0895e-07
711;2.4095;7.4467;6.762e-07
712;2.4068;7.4433;6.4489e-07
713;2.4041;7.4399;6.1508e-07
714;2.4014;7.4365;5.8672e-07
715;2.3987;7.4332;5.596e-07
716;2.3961;7.4299;5.3379e-07
717;2.3934;7.4265;5.0912e-07
718;2.3907;7.4233;4.8564e-07
719;2.3881;7.42;4.632e-07
720;2.3854;7.4167;4.4184e-07
721;2.3828;7.4134;4.215e-07
722;2.3801;7.4102;4.0207e-07
723;2.3775;7.407;3.8357e-07
724;2.3749;7.4038;3.6595e-07
725;2.3723;7.4006;3.4912e-07
726;2.3697;7.3974;3.3303e-07
727;2.3671;7.3943;3.1771e-07
728;2.3644;7.3911;3.0313e-07
729;2.3619;7.388;2.8919e-07
730;2.3593;7.3849;2.7592e-07
731;2.3567;7.3818;2.6329e-07
732;2.3541;7.3787;2.5121e-07
733;2.3515;7.3756;2.3967e-07
734;2.3489;7.3726;2.2869e-07
735;2.3464;7.3695;2.1822e-07
736;2.3438;7.3665;2.0822e-07
737;2.3413;7.3635;1.987e-07
738;2.3387;7.3605;1.8964e-07
739;2.3362;7.3575;1.8094e-07
740;2.3337;7.3546;1.7269e-07
741;2.3311;7.3516;1.648e-07
742;2.3286;7.3487;1.5729e-07
743;2.3261;7.3457;1.5011e-07
744;2.3236;7.3428;1.4325e-07
745;2.3211;7.3399;1.3671e-07
746;2.3186;7.337;1.3049e-07
747;2.3161;7.3342;1.2454e-07
748;2.3136;7.3313;1.1888e-07
749;2.3111;7.3285;1.1348e-07
750;2.3086;7.3256;1.0833e-07
751;2.3061;7.3228;1.034e-07
752;2.3037;7.32;9.8702e-08
753;2.3012;7.3172;9.4213e-08
754;2.2987;7.3144;8.9938e-08
755;2.2963;7.3116;8.5867e-08
756;2.2938;7.3089;8.1976e-08
757;2.2914;7.3061;7.8267e-08
758;2.2889;7.3034;7.4723e-08
759;2.2865;7.3007;7.1335e-08
760;2.2841;7.298;6.8105e-08
761;2.2817;7.2953;6.5032e-08
